experience_years,age,projects_completed,training_hours,salary_lakh
0.2,42.0,20.0,62.0,6.8
2.1,33.0,9.0,51.0,8.7
14.2,39.0,2.0,10.0,13.1
1.5,37.0,5.0,46.0,2.8
4.2,42.0,20.0,21.0,9.8
2.0,44.0,10.0,65.0,6.2
15.9,59.0,10.0,50.0,16.8
13.2,59.0,18.0,0.0,16.2
13.7,25.0,3.0,72.0,17.9
-3.0,57.0,6.0,19.0,9.3
1.6,46.0,19.0,65.0,7.6
18.6,37.0,14.0,11.0,19.3
18.1,22.0,10.0,28.0,18.7
5.1,32.0,6.0,80.0,7.8
19.4,46.0,20.0,9.0,23.0
3.7,42.0,2.0,34.0,5.8
9.4,47.0,19.0,41.0,15.8
2.6,34.0,2.0,,5.5
6.1,34.0,12.0,72.0,10.9
12.8,53.0,13.0,78.0,15.8
9.2,29.0,13.0,17.0,13.7
5.7,40.0,11.0,68.0,11.2
16.0,36.0,3.0,62.0,16.0
11.1,46.0,19.0,4.0,13.6
10.4,43.0,12.0,97.0,14.7
11.9,51.0,18.0,26.0,17.1
5.0,51.0,5.0,42.0,8.8
15.5,21.0,13.0,78.0,19.4
6.5,37.0,17.0,82.0,13.2
6.5,15.0,13.0,45.0,9.4
17.1,37.0,17.0,62.0,22.0
7.5,24.0,16.0,50.0,13.1
5.2,42.0,12.0,29.0,8.2
14.4,27.0,0.0,18.0,15.2
0.3,47.0,5.0,54.0,4.6
5.0,48.0,11.0,63.0,8.9
8.4,21.0,6.0,99.0,14.0
2.0,46.0,16.0,39.0,8.2
4.8,25.0,19.0,1.0,-10.0
14.1,28.0,20.0,96.0,21.3
19.0,45.0,20.0,26.0,21.3
19.0,51.0,3.0,57.0,19.7
6.1,40.0,6.0,39.0,8.2
17.7,59.0,15.0,85.0,18.1
0.8,48.0,7.0,9.0,1.7
15.6,48.0,19.0,6.0,16.7
9.0,54.0,14.0,67.0,14.1
2.8,21.0,18.0,74.0,10.4
14.5,34.0,9.0,55.0,17.4
16.7,51.0,8.0,80.0,18.7
11.0,22.0,2.0,27.0,11.7
1.4,43.0,10.0,15.0,7.8
8.8,31.0,18.0,63.0,13.0
6.1,27.0,9.0,81.0,10.5
3.6,37.0,0.0,8.0,4.7
9.6,23.0,6.0,81.0,11.1
4.2,52.0,17.0,27.0,7.7
19.8,41.0,1.0,96.0,21.3
16.2,56.0,6.0,24.0,21.6
13.0,51.0,20.0,87.0,19.9
9.1,23.0,9.0,65.0,11.2
18.0,29.0,20.0,75.0,23.0
2.7,45.0,7.0,3.0,5.0
0.6,36.0,11.0,9.0,8.0
12.1,31.0,2.0,54.0,15.3
4.0,25.0,2.0,0.0,6.5
15.5,41.0,1.0,11.0,15.9
17.0,55.0,1.0,57.0,18.3
18.6,44.0,,89.0,24.1
16.5,46.0,3.0,1.0,18.7
14.3,42.0,13.0,66.0,14.4
18.9,42.0,1.0,84.0,20.5
3.1,52.0,2.0,54.0,9.2
14.8,,11.0,99.0,18.0
6.6,29.0,16.0,44.0,12.6
16.1,56.0,13.0,89.0,15.5
12.3,55.0,18.0,,19.0
8.7,26.0,19.0,48.0,14.3
19.6,52.0,19.0,84.0,24.9
0.5,39.0,7.0,56.0,4.8
15.5,26.0,17.0,53.0,18.1
18.6,27.0,16.0,74.0,19.2
2.9,44.0,18.0,22.0,9.5
9.6,32.0,6.0,78.0,15.1
9.7,28.0,0.0,67.0,14.2
5.4,34.0,2.0,24.0,7.3
15.6,48.0,19.0,6.0,16.7
3.3,30.0,6.0,70.0,7.0
15.8,34.0,16.0,97.0,19.0
8.3,50.0,0.0,15.0,8.8
12.3,57.0,12.0,69.0,19.4
15.6,45.0,18.0,19.0,17.8
19.5,21.0,20.0,26.0,21.3
19.7,38.0,5.0,20.0,19.0
17.7,26.0,0.0,81.0,15.1
19.3,29.0,4.0,83.0,18.8
15.1,57.0,1.0,92.0,13.2
3.5,48.0,17.0,27.0,8.1
14.1,44.0,17.0,61.0,15.2
11.8,49.0,0.0,69.0,10.8
9.2,25.0,12.0,83.0,16.2
7.8,44.0,12.0,,10.4
13.8,30.0,17.0,29.0,14.7
7.2,24.0,9.0,,8.9
11.1,35.0,12.0,41.0,13.5
1.2,33.0,7.0,31.0,5.6
2.1,21.0,18.0,40.0,6.8
2.3,15.0,6.0,94.0,8.1
4.1,59.0,7.0,72.0,7.5
17.2,29.0,13.0,16.0,15.4
6.1,56.0,18.0,98.0,12.2
,58.0,20.0,71.0,17.7
7.2,36.0,8.0,66.0,8.4
18.3,54.0,15.0,48.0,20.6
9.1,26.0,1.0,42.0,11.7
1.1,30.0,4.0,84.0,6.9
5.8,50.0,16.0,37.0,13.9
3.4,36.0,2.0,65.0,5.8
1.4,58.0,4.0,30.0,6.5
2.6,26.0,17.0,61.0,9.6
10.4,45.0,16.0,36.0,10.7
12.6,34.0,1.0,92.0,13.5
17.9,24.0,7.0,75.0,22.7
15.1,42.0,17.0,26.0,19.7
5.9,28.0,12.0,75.0,11.6
16.7,48.0,4.0,89.0,18.2
13.2,33.0,3.0,35.0,15.1
12.0,53.0,6.0,30.0,14.9
2.6,22.0,19.0,31.0,8.3
19.8,28.0,3.0,92.0,18.5
3.9,33.0,14.0,75.0,8.1
11.6,21.0,16.0,42.0,14.7
19.5,33.0,18.0,52.0,23.4
9.4,36.0,4.0,70.0,12.5
13.8,46.0,12.0,12.0,14.9
10.6,53.0,2.0,51.0,12.0
16.8,29.0,3.0,79.0,18.1
7.1,58.0,12.0,91.0,11.9
0.8,26.0,19.0,38.0,7.1
1.9,52.0,3.0,48.0,7.2
6.4,50.0,7.0,63.0,15.2
14.1,46.0,5.0,27.0,14.4
13.4,23.0,2.0,44.0,15.1
12.0,23.0,10.0,40.0,15.5
18.3,21.0,11.0,50.0,22.9
19.8,41.0,9.0,68.0,23.9
4.6,43.0,8.0,50.0,8.7
15.5,47.0,1.0,78.0,20.6
11.8,59.0,15.0,32.0,14.7
8.1,50.0,14.0,21.0,-10.0
10.0,57.0,2.0,95.0,14.7
17.0,55.0,15.0,1.0,20.0
9.7,48.0,5.0,33.0,15.7
15.5,46.0,20.0,0.0,20.6
14.4,46.0,18.0,9.0,18.6
13.1,29.0,2.0,61.0,13.2
11.4,22.0,15.0,100.0,15.5
8.5,57.0,15.0,2.0,16.1
4.1,49.0,3.0,42.0,7.1
17.8,33.0,8.0,37.0,18.6
14.7,59.0,4.0,65.0,14.4
14.8,39.0,0.0,75.0,15.8
3.8,31.0,7.0,19.0,4.3
15.5,43.0,0.0,30.0,15.1
3.9,22.0,2.0,8.0,4.8
19.4,47.0,0.0,36.0,21.9
0.3,53.0,11.0,75.0,8.2
2.9,59.0,14.0,22.0,4.0
11.4,39.0,19.0,67.0,16.3
10.1,21.0,20.0,28.0,14.4
17.5,39.0,16.0,20.0,22.5
10.2,50.0,3.0,2.0,-10.0
2.6,59.0,10.0,2.0,11.4
4.1,48.0,9.0,18.0,11.2
17.4,31.0,,10.0,19.1
12.2,57.0,3.0,61.0,14.9
2.7,42.0,7.0,76.0,8.7
17.6,52.0,8.0,7.0,20.4
16.3,30.0,10.0,0.0,13.9
7.6,58.0,16.0,17.0,12.0
8.8,24.0,14.0,63.0,14.2
15.8,34.0,4.0,22.0,16.3
7.8,42.0,18.0,25.0,12.4
19.2,28.0,10.0,61.0,23.1
3.5,40.0,7.0,81.0,9.2
1.0,55.0,12.0,30.0,5.7
5.4,58.0,10.0,39.0,8.6
0.4,29.0,17.0,37.0,6.9
9.1,47.0,2.0,54.0,9.0
4.9,36.0,1.0,45.0,9.6
10.5,34.0,4.0,51.0,10.4
13.0,31.0,2.0,18.0,12.3
19.5,39.0,10.0,9.0,21.4
15.9,33.0,3.0,0.0,20.6
4.6,44.0,5.0,13.0,9.5
10.9,,13.0,29.0,16.1
3.5,46.0,9.0,83.0,10.0
8.9,46.0,5.0,9.0,12.7
0.0,40.0,0.0,41.0,2.3
14.9,59.0,19.0,70.0,21.3
4.7,31.0,6.0,33.0,3.7
4.9,53.0,8.0,86.0,9.3
15.3,23.0,20.0,59.0,19.1
14.0,24.0,16.0,68.0,16.4
16.6,27.0,7.0,40.0,16.5
6.7,57.0,19.0,68.0,10.7
19.9,41.0,12.0,52.0,19.2
18.8,46.0,13.0,34.0,21.7
4.1,21.0,13.0,12.0,9.7
1.6,44.0,17.0,42.0,7.3
16.4,46.0,17.0,42.0,17.9
16.1,42.0,1.0,21.0,15.1
19.1,22.0,3.0,81.0,22.6
3.9,41.0,2.0,29.0,4.8
0.7,51.0,4.0,80.0,9.0
13.7,40.0,11.0,27.0,17.8
11.4,21.0,14.0,54.0,14.8
0.2,39.0,20.0,13.0,6.8
6.3,27.0,0.0,72.0,10.6
16.7,58.0,5.0,77.0,16.4
14.1,32.0,17.0,49.0,18.1
0.6,47.0,8.0,2.0,2.0
13.4,48.0,0.0,33.0,13.9
7.2,41.0,5.0,46.0,10.1
0.1,59.0,7.0,96.0,6.9
17.1,30.0,1.0,94.0,17.8
19.6,33.0,16.0,96.0,23.9
6.7,58.0,11.0,55.0,11.4
9.2,25.0,9.0,41.0,14.5
10.7,41.0,6.0,53.0,12.6
5.6,50.0,0.0,79.0,9.4
1.8,25.0,3.0,45.0,3.8
19.9,40.0,1.0,83.0,25.2
19.2,27.0,15.0,21.0,15.7
8.8,53.0,4.0,27.0,11.6
10.9,31.0,2.0,95.0,11.5
0.2,53.0,6.0,99.0,4.6
17.6,44.0,6.0,15.0,20.8
9.3,39.0,3.0,57.0,9.7
1.0,54.0,15.0,7.0,8.3
11.8,24.0,16.0,46.0,18.5
12.5,27.0,12.0,82.0,18.0
8.8,35.0,20.0,3.0,14.7
9.2,53.0,3.0,39.0,15.0
19.9,57.0,8.0,33.0,20.4
7.1,50.0,17.0,71.0,13.8
8.3,57.0,5.0,61.0,10.6
16.2,49.0,18.0,100.0,18.7
4.4,31.0,3.0,65.0,7.0
13.8,35.0,13.0,19.0,16.6
11.3,50.0,0.0,28.0,13.1
4.5,58.0,20.0,71.0,11.6
9.5,49.0,19.0,17.0,16.0
0.3,51.0,20.0,82.0,4.7
15.5,43.0,18.0,31.0,19.8
2.3,53.0,17.0,14.0,10.2
16.7,44.0,5.0,28.0,17.2
3.0,32.0,4.0,43.0,1.9
6.4,26.0,13.0,90.0,13.2
19.4,57.0,16.0,86.0,23.2
1.8,49.0,12.0,46.0,5.3
11.2,29.0,13.0,42.0,12.0
13.4,30.0,17.0,65.0,16.4
9.0,48.0,9.0,33.0,12.9
19.9,22.0,11.0,40.0,19.5
7.2,46.0,8.0,71.0,7.5
16.6,33.0,17.0,91.0,19.4
6.4,53.0,3.0,17.0,7.4
14.4,56.0,14.0,92.0,16.4
3.3,45.0,9.0,41.0,9.8
13.5,26.0,8.0,52.0,16.1
12.1,47.0,12.0,87.0,19.4
1.3,52.0,12.0,33.0,5.7
15.4,28.0,6.0,85.0,17.0
0.7,25.0,14.0,5.0,7.7
9.9,23.0,20.0,8.0,15.1
13.7,32.0,5.0,70.0,18.8
8.0,39.0,16.0,34.0,11.4
1.0,48.0,6.0,76.0,2.8
10.4,41.0,9.0,72.0,14.5
10.7,51.0,8.0,68.0,13.1
,51.0,16.0,73.0,17.2
11.4,24.0,2.0,10.0,13.8
17.5,57.0,12.0,30.0,19.2
6.4,60.0,0.0,65.0,10.1
8.9,24.0,3.0,41.0,11.9
7.2,24.0,5.0,94.0,10.2
16.6,56.0,10.0,6.0,19.0
12.0,38.0,17.0,98.0,17.4
9.9,38.0,10.0,100.0,15.2
7.4,28.0,10.0,49.0,10.6
2.3,30.0,20.0,75.0,11.2
19.9,48.0,8.0,61.0,23.0
3.5,56.0,5.0,66.0,8.8
3.8,46.0,0.0,92.0,6.9
1.8,45.0,20.0,62.0,10.9
15.1,29.0,16.0,71.0,20.2
8.3,59.0,6.0,24.0,9.2
14.9,32.0,4.0,10.0,15.2
4.4,25.0,4.0,84.0,8.1
4.2,15.0,4.0,12.0,10.4
0.7,60.0,5.0,33.0,3.6
12.4,46.0,18.0,17.0,17.8
17.4,31.0,16.0,63.0,20.1
13.0,23.0,5.0,29.0,13.5
14.5,41.0,7.0,41.0,18.7
15.6,55.0,16.0,13.0,15.4
15.3,38.0,8.0,10.0,16.7
6.7,39.0,13.0,27.0,10.8
10.0,39.0,1.0,75.0,12.3
12.3,35.0,3.0,28.0,15.1
18.2,48.0,7.0,36.0,18.9
19.3,56.0,19.0,60.0,23.9
10.1,26.0,,75.0,14.2
15.0,32.0,3.0,22.0,12.0
9.1,57.0,12.0,22.0,13.3
17.6,27.0,7.0,25.0,19.4
1.9,21.0,9.0,39.0,6.4
17.8,44.0,8.0,3.0,16.6
